stop,pagerank
Giddenahalli,0.0003968624061784649
Sapthagiri College Chikka Banawara,0.0003956918271852608
JC Nagara,0.00039567857016969206
ITI Circle,0.00039558226491761314
JHBCS Cross,0.0003954999183972901
Sambram College MS Palya,0.0003949698504891164
Indian Design Pvt Ltd,0.0003937137712110261
Head Start School,0.0003937137712110261
Depot-13 BS,0.00039229807200864646
Ambedkar Medical College Shampura,0.0003916763539293786
Shettty Halli,0.0003916763539293786
Kattiganahalli,0.0003916763539293786
Dasarahalli,0.0003916763539293786
Kamakya Talkies,0.0003913787738846731
BMTC Depot-03,0.00039119840138982095
Mahadeshwara Nagara 16th Main,0.00039039381129243834
Depot 33,0.0003898281566830469
BTMAXA Software Company,0.0003893523723119749
Malleshwaram 8th Main,0.0003882622448958649
Shikaripalya,0.00038710554708250354
Byala Halli,0.0003868155172065393
Infosys Parking Lot,0.0003859538614981358
Whispering Meawn,0.00038582035457955695
Head Start School Gate,0.00038557532273291134
Begur,0.00038533975690426567
Goravanahalli,0.00038500214082751725
GPO,0.00038468984578813627
Judicial Layout,0.00038421709633335434
BHEL Concrode Layout,0.0003840416105943018
Telecom Layout,0.0003839807122560891
Elita Promenade Aparatment,0.0003830042784034064
Manchanabele,0.0003827429629322147
Nanjapura,0.0003821916132353058
Avalahalli BDA Layout,0.000381811039481245
Yelahanka 5th Phase,0.00038093240788792846
Gejjagadahalli,0.00038037004582544185
Mallara Banavadi,0.00038037004582544185
Mylanahalli,0.00038037004582544185
Banasawadi Fire Statiion,0.0003796290317200934
Nisarga Badavane,0.000378042143101408
CAP GEMINI,0.00037787364386507674
Sunkadakatte,0.00037741993390408995
Banashankari 3rd Stage 3rd Phase,0.0003771275283491985
Dyavasandra,0.0003771275283491985
Totagere,0.0003771275283491985
Hulimavu,0.0003771275283491985
Lotte Gollahalli,0.0003771275283491985
Alada Mara Ramamurthy Nagar,0.0003771275283491985
CK Palya,0.0003771275283491985
Koyira Devana Halli Road,0.0003766277561577611
Gonipura,0.00037642637785890954
Sarakki Signal B S,0.00037461184754655633
JC Nagara Police Station,0.00037384368382997995
Manyatha Tech Park,0.00037305684929244895
Pillanna Garden,0.0003723064545464922
Veerannapalya,0.0003719414761001121
NAGAGONDANAHALLI,0.0003719414761001121
Kumaraswamy Layout 2nd Stage,0.0003719414761001121
Marasandra Bagalur,0.0003719414761001121
Shanthinikethana Layout,0.0003719414761001121
Ganakkal,0.0003719414761001121
H Tippunagar,0.0003719414761001121
Kenchanapura,0.0003719414761001121
Budigere,0.0003719414761001121
Kallukunte Agrahara,0.0003719414761001121
Dodda Gubbi,0.0003719414761001121
Anagalipura,0.0003719414761001121
Vidhanasoudha Layout,0.0003719414761001121
Vigneshwara Nagara,0.0003719414761001121
Muthkuru,0.0003719414761001121
Ramachandrpura,0.0003719414761001121
Vaddarahalli BMTC Training Centre,0.0003719414761001121
Kudlu,0.0003719414761001121
Kadirenahalli Park,0.0003719414761001121
Atturu,0.0003719414761001121
Doddanekkundi,0.0003719414761001121
Srinivagilu,0.0003719414761001121
JP Nagara 1st Phase,0.0003719414761001121
Lal Bahadur Shastri Nagara,0.0003719414761001121
Manganahalli,0.0003718885741363469
Minaz Nagara,0.0003716674869514029
Sophiya School,0.0003710907708058776
Sri Ayyapa Educational Center,0.000369329704545223
Kadirenahalli Village,0.0003685097804744942
Bellikere,0.00036804422523576644
Hoskote,0.0003680353873427788
Boganahalli,0.0003669428455745855
BChannasandra,0.00036675542385102586
Ayyappa Nagara,0.00036675542385102586
Mahadeshwara Layout,0.0003664140339900711
Meenakshi Layout,0.0003662408112999544
Gangenahalli,0.0003658974543513673
Marasandra,0.00036549761069996206
BNagasandra,0.00036549761069996206
